297, 3, 0
291, 9, 0
288, 12, 0
288, 12, 0
288, 12, 0
286, 14, 0
282, 18, 0
276, 24, 0
276, 24, 0
274, 26, 0
273, 27, 0
273, 27, 0
271, 29, 0
270, 30, 0
268, 32, 0
265, 35, 0
264, 36, 0
262, 38, 0
260, 40, 0
259, 41, 0
255, 45, 0
251, 49, 0
250, 50, 0
246, 54, 0
241, 59, 0
238, 62, 0
235, 65, 0
232, 68, 0
225, 75, 0
221, 79, 0
221, 79, 0
218, 82, 0
215, 85, 0
211, 89, 0
209, 91, 0
206, 94, 0
202, 98, 0
198, 102, 0
192, 108, 0
189, 111, 0
187, 113, 0
185, 115, 0
181, 119, 0
179, 121, 0
177, 123, 0
176, 124, 0
173, 127, 0
167, 133, 0
165, 135, 0
163, 137, 0
158, 142, 0
155, 145, 0
155, 145, 0
154, 146, 0
151, 149, 0
149, 151, 0
146, 154, 0
146, 154, 0
144, 156, 0
138, 162, 0
136, 164, 0
133, 167, 0
132, 168, 0
132, 168, 0
131, 169, 0
130, 170, 0
130, 170, 0
129, 171, 0
128, 172, 0
125, 175, 0
124, 176, 0
123, 177, 0
121, 179, 0
117, 183, 0
114, 186, 0
114, 186, 0
114, 186, 0
114, 186, 0
112, 188, 0
111, 189, 0
109, 191, 0
103, 197, 0
102, 198, 0
99, 201, 0
98, 202, 0
98, 202, 0
96, 204, 0
95, 205, 0
94, 206, 0
92, 208, 0
90, 210, 0
90, 210, 0
86, 214, 0
86, 214, 0
84, 216, 0
82, 218, 0
82, 218, 0
80, 220, 0
76, 224, 0
72, 228, 0
71, 229, 0
71, 229, 0
69, 231, 0
69, 231, 0
66, 234, 0
65, 235, 0
60, 240, 0
60, 240, 0
60, 240, 0
60, 240, 0
59, 241, 0
59, 241, 0
58, 242, 0
58, 242, 0
57, 243, 0
57, 243, 0
57, 243, 0
57, 243, 0
51, 249, 0
47, 253, 0
44, 256, 0
41, 250, 9
40, 248, 12
39, 249, 12
39, 249, 12
37, 249, 14
35, 247, 18
35, 241, 24
35, 241, 24
34, 240, 26
30, 243, 27
28, 245, 27
26, 245, 29
25, 245, 30
24, 244, 32
24, 241, 35
24, 240, 36
23, 239, 38
21, 239, 40
21, 238, 41
21, 234, 45
21, 230, 49
21, 229, 50
21, 225, 54
21, 220, 59
21, 217, 62
21, 214, 65
21, 211, 68
21, 204, 75
21, 200, 79
20, 201, 79
20, 198, 82
19, 196, 85
16, 195, 89
15, 194, 91
15, 191, 94
15, 187, 98
13, 185, 102
12, 180, 108
11, 178, 111
9, 178, 113
9, 176, 115
8, 173, 119
8, 171, 121
8, 169, 123
8, 168, 124
8, 165, 127
8, 159, 133
8, 157, 135
7, 156, 137
7, 151, 142
7, 148, 145
